Job Title,Salary,Requirements,Company,Location,Industry,Company Size,Education,Job Type,Posted Date,Job Link
CUSTOMER SERVICE ASSISTANT,Salary not specified,"Required qualifications, capabilities, and skillsMust be willing to work in an environment that requires 100% phone-based customer interactionCompleted at least 2 years in college or, High school graduate with 1 year customer-interfacing work experience or, Completed a 2-year vocational/certificate course with 1 year customer-interfacing work experienceWilling to work on shifting schedulesPreferred qualificationsProficiency with basic computer functions including mouse and keyboard usage, launching applications, conducting searches on the Internet, and maneuvering in a Windows-based environment strongly preferred., Preferred qualifications","JPMORGAN CHASE BANK, N.A. - PHILGLOBAL","CEBU CITY (CAPITAL), CEBU",Company industry not specified,200 and over (Large),HIGH SCHOOL GRADUATE,Permanent,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/customer-service-assistant-1056267
CUSTOMER SERVICE ASSISTANT,Salary not specified,"Required qualifications, capabilities, and skillsMust be willing to work in an environment that requires 100% phone-based customer interactionCompleted at least 2 years in college or, High school graduate with 1 year customer-interfacing work experience or, Completed a 2-year vocational/certificate course with 1 year customer-interfacing work experienceWilling to work on shifting schedulesPreferred qualificationsProficiency with basic computer functions including mouse and keyboard usage, launching applications, conducting searches on the Internet, and maneuvering in a Windows-based environment strongly preferred., Required qualifications, capabilities, and skills, Preferred qualifications","JPMORGAN CHASE BANK, N.A. - PHILGLOBAL","TAGUIG CITY, NCR, FOURTH DISTRICT",Company industry not specified,200 and over (Large),HIGH SCHOOL GRADUATE,Permanent,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/customer-service-assistant-1056265
HUMAN RESOURCE DEVELOPMENT OFFICER,Salary not specified,Qualifications/requirements not specified,RVL AUTO LOGISTICS CORP.,"CITY OF SANTA ROSA, LAGUNA","TRANSPORT, STORAGE AND COMMUNICATION",10 - 99 (Small),Educ level not specified,Permanent,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/human-resource-development-officer-1056263
SALES OFFICER,"₱20,000.00","Requirements:Bachelors Degree holder on Electrical Engineering, Marketing, Business Management or any related course;With at least 2 years SUCCESSFUL experience in selling electrical products in the Area assignedHas at least 2-year experience in Retail Selling to hardware General & Electrical Contractors & Builders in the area;Hardworking, Honest, Coachable, Fast Learner, and with strong interpersonal skills;Familiar with the quote to collection process; Has keen attention to accuracy and details.Able to convert qualified leads into sales through strong follow through & smart area coverage;Based locally and is familiar with all the towns, cities and/or provinces assigned for him to cover;Base locally and is familiar with all the towns, cities, and/or provinces assigned for him to cover;Knows how to ride motorcycle or drive a car is a plus., Bachelors Degree holder on Electrical Engineering, Marketing, Business Management or any related course;, With at least 2 years SUCCESSFUL experience in selling electrical products in the Area assigned, Has at least 2-year experience in Retail Selling to hardware General & Electrical Contractors & Builders in the area;, Hardworking, Honest, Coachable, Fast Learner, and with strong interpersonal skills;, Familiar with the quote to collection process; Has keen attention to accuracy and details., Able to convert qualified leads into sales through strong follow through & smart area coverage;, Based locally and is familiar with all the towns, cities and/or provinces assigned for him to cover;, Base locally and is familiar with all the towns, cities, and/or provinces assigned for him to cover;, Knows how to ride motorcycle or drive a car is a plus.","BEYOND INNOVATIONS, INC.","CITY OF TAYABAS, QUEZON",WHOLESALE AND RETAIL TRADE,200 and over (Large),COLLEGE GRADUATE,Permanent,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/sales-officer-1056242
ASSOCIATE ACCOUNTANT,Salary not specified,"•	A bachelor's degree in finance, accounting, or a related field.•	Excellent focus on details.•	Solid grasp of the rules and procedures governing accounting and financial reporting•	Skilled in verbal and written communication in both Filipino and English.•	Excellent communication abilities to work well with colleagues and supervisors.•	Ability to self-manage with excellent communication skill to fit to work remotely.•	Ability to work independently and adapt to changing priorities., •	Excellent focus on details., •	Solid grasp of the rules and procedures governing accounting and financial reporting, •	Skilled in verbal and written communication in both Filipino and English., •	Excellent communication abilities to work well with colleagues and supervisors., •	Ability to self-manage with excellent communication skill to fit to work remotely., •	Ability to work independently and adapt to changing priorities., ",OLIVE AND VINE INC.,"ILOILO CITY (CAPITAL), ILOILO","REAL ESTATE, RENTING AND BUSINESS ACTIVITIES",10 - 99 (Small),COLLEGE GRADUATE,Permanent,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/associate-accountant-1056239
WAREHOUSE SUPERVISOR,Salary not specified,"Requirements:● Proven experience in warehouse management or a related field.● Strong leadership and organizational skills.● Ability to handle complex issues and work under minimal supervision.● Knowledge of good manufacturing practices, sanitation, and hygiene standards., Requirements:, ● Proven experience in warehouse management or a related field., ● Strong leadership and organizational skills., ● Ability to handle complex issues and work under minimal supervision., ● Knowledge of good manufacturing practices, sanitation, and hygiene standards.",TAOCROWD INC,"PLARIDEL, BULACAN","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",200 and over (Large),COLLEGE GRADUATE,Permanent,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/warehouse-supervisor-1056237
SALES OFFICER,"₱20,000.00","Requirements:Bachelors Degree holder on Electrical Engineering, Marketing, Business Management or any related course;With at least 2 years SUCCESSFUL experience in selling electrical products in the Area assignedHas at least 2-year experience in Retail Selling to hardware General & Electrical Contractors & Builders in the area;Hardworking, Honest, Coachable, Fast Learner, and with strong interpersonal skills;Familiar with the quote to collection process; Has keen attention to accuracy and details.Able to convert qualified leads into sales through strong follow through & smart area coverage;Based locally and is familiar with all the towns, cities and/or provinces assigned for him to cover;Base locally and is familiar with all the towns, cities, and/or provinces assigned for him to cover;Knows how to ride motorcycle or drive a car is a plus., Bachelors Degree holder on Electrical Engineering, Marketing, Business Management or any related course;, With at least 2 years SUCCESSFUL experience in selling electrical products in the Area assigned, Has at least 2-year experience in Retail Selling to hardware General & Electrical Contractors & Builders in the area;, Hardworking, Honest, Coachable, Fast Learner, and with strong interpersonal skills;, Familiar with the quote to collection process; Has keen attention to accuracy and details., Able to convert qualified leads into sales through strong follow through & smart area coverage;, Based locally and is familiar with all the towns, cities and/or provinces assigned for him to cover;, Base locally and is familiar with all the towns, cities, and/or provinces assigned for him to cover;, Knows how to ride motorcycle or drive a car is a plus.","BEYOND INNOVATIONS, INC.","CITY OF CALAMBA, LAGUNA",WHOLESALE AND RETAIL TRADE,200 and over (Large),COLLEGE GRADUATE,Permanent,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/sales-officer-1056236
SALES OFFICER,"₱20,000.00","Requirements:Bachelors Degree holder on Electrical Engineering, Marketing, Business Management or any related course;With at least 2 years SUCCESSFUL experience in selling electrical products in the Area assignedHas at least 2-year experience in Retail Selling to hardware General & Electrical Contractors & Builders in the area;Hardworking, Honest, Coachable, Fast Learner, and with strong interpersonal skills;Familiar with the quote to collection process; Has keen attention to accuracy and details.Able to convert qualified leads into sales through strong follow through & smart area coverage;Based locally and is familiar with all the towns, cities and/or provinces assigned for him to cover;Base locally and is familiar with all the towns, cities, and/or provinces assigned for him to cover;Knows how to ride motorcycle or drive a car is a plus., Bachelors Degree holder on Electrical Engineering, Marketing, Business Management or any related course;, With at least 2 years SUCCESSFUL experience in selling electrical products in the Area assigned, Has at least 2-year experience in Retail Selling to hardware General & Electrical Contractors & Builders in the area;, Hardworking, Honest, Coachable, Fast Learner, and with strong interpersonal skills;, Familiar with the quote to collection process; Has keen attention to accuracy and details., Able to convert qualified leads into sales through strong follow through & smart area coverage;, Based locally and is familiar with all the towns, cities and/or provinces assigned for him to cover;, Base locally and is familiar with all the towns, cities, and/or provinces assigned for him to cover;, Knows how to ride motorcycle or drive a car is a plus.","BEYOND INNOVATIONS, INC.","CITY OF CALAMBA, LAGUNA",WHOLESALE AND RETAIL TRADE,200 and over (Large),COLLEGE GRADUATE,Permanent,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/sales-officer-1056235
SALES OFFICER,"₱20,000.00","Requirements:Bachelors Degree holder on Electrical Engineering, Marketing, Business Management or any related course;With at least 2 years SUCCESSFUL experience in selling electrical products in the Area assignedHas at least 2-year experience in Retail Selling to hardware General & Electrical Contractors & Builders in the area;Hardworking, Honest, Coachable, Fast Learner, and with strong interpersonal skills;Familiar with the quote to collection process; Has keen attention to accuracy and details.Able to convert qualified leads into sales through strong follow through & smart area coverage;Based locally and is familiar with all the towns, cities and/or provinces assigned for him to cover;Base locally and is familiar with all the towns, cities, and/or provinces assigned for him to cover;Knows how to ride motorcycle or drive a car is a plus., Bachelors Degree holder on Electrical Engineering, Marketing, Business Management or any related course;, With at least 2 years SUCCESSFUL experience in selling electrical products in the Area assigned, Has at least 2-year experience in Retail Selling to hardware General & Electrical Contractors & Builders in the area;, Hardworking, Honest, Coachable, Fast Learner, and with strong interpersonal skills;, Familiar with the quote to collection process; Has keen attention to accuracy and details., Able to convert qualified leads into sales through strong follow through & smart area coverage;, Based locally and is familiar with all the towns, cities and/or provinces assigned for him to cover;, Base locally and is familiar with all the towns, cities, and/or provinces assigned for him to cover;, Knows how to ride motorcycle or drive a car is a plus.","BEYOND INNOVATIONS, INC.","CITY OF SAN FERNANDO (CAPITAL), PAMPANGA",WHOLESALE AND RETAIL TRADE,200 and over (Large),COLLEGE GRADUATE,Permanent,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/sales-officer-1056230
ACCOUNTS OFFICER,"₱20,000.00","Minimum QualificationsGraduate of business related course with major in marketing, advertising, management, communications, and statisticsAt least 2 years progressive Sales experienceHas experience in selling networking equipments and parts.Has overall knowledge of Networking equipment and Parts, with brands such as Cisco, Juniper, Huawei, Brocade, etc.Basic knowledge of electronic componentsProduct Management, People Management, Understanding the Customer, Product Development, Requirements Analysis, Pricing, Planning, Competitive Analysis, Sales Planning, Inventory Control, Financial Planning and Strategy, Graduate of business related course with major in marketing, advertising, management, communications, and statistics, At least 2 years progressive Sales experience, Has experience in selling networking equipments and parts., Has overall knowledge of Networking equipment and Parts, with brands such as Cisco, Juniper, Huawei, Brocade, etc., Basic knowledge of electronic components, Product Management, People Management, Understanding the Customer, Product Development, Requirements Analysis, Pricing, Planning, Competitive Analysis, Sales Planning, Inventory Control, Financial Planning and Strategy","BEYOND INNOVATIONS, INC.","QUEZON CITY, NCR, SECOND DISTRICT",WHOLESALE AND RETAIL TRADE,200 and over (Large),COLLEGE GRADUATE,Permanent,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/accounts-officer-1056228
SALES OFFICER,"₱25,000.00","Qualifications for dealer salesDemonstrated ability to interact and cooperate with internal and external parties, build trust, value and collaborate with others, communicate effectively, drive execution, foster innovation, focus on the customer, solve problems creatively and demonstrate high integrity2 years experience in outside sales, preferably electronicsExcellent organizational and budgeting skills, including ability to multi-task and prioritize workloadProficient computer skills, including familiarity with CRM Systems, Demonstrated ability to interact and cooperate with internal and external parties, build trust, value and collaborate with others, communicate effectively, drive execution, foster innovation, focus on the customer, solve problems creatively and demonstrate high integrity, 2 years experience in outside sales, preferably electronics, Excellent organizational and budgeting skills, including ability to multi-task and prioritize workload, Proficient computer skills, including familiarity with CRM Systems","BEYOND INNOVATIONS, INC.","QUEZON CITY, NCR, SECOND DISTRICT",WHOLESALE AND RETAIL TRADE,200 and over (Large),COLLEGE GRADUATE,Permanent,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/sales-officer-1056224
BRANCH MANAGER,Salary not specified,"Strong customer service skillsSuperior management skillsHigh level of flexibilityAbility to adapt to different customersGreat written and verbal communication skillsNatural talent for motivating and developing teamsExcellent verbal communication, and the ability to convey important information clearly and effectivelyStrong leadership and initiativeExcellent delegator and mediatorPeople who are able to provide excellent customer serviceQuick decision-making and problem-solving abilitiesExcellent time managementResponsible, goal-oriented and organizedStrong attention to detail and ability to multitaskConfident, proactive, and willing to take on workplace challengesGreat listening skills and ability to take direction from individuals in higher-level positions",HUNGRY STEAK,"LAPU-LAPU CITY (OPON), CEBU",HOTELS AND RESTAURANTS,10 - 99 (Small),COLLEGE GRADUATE,Permanent,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/branch-manager-1056220
