Title,Release,Cast,Genre,Theme,Languages in Movie,Studio,Country Produced
"The Good, the Bad and the Ugly",1966,"Clint Eastwood, Eli Wallach, Lee Van Cleef, Aldo Giuffrè, Luigi Pistilli, Rada Rassimov, Enzo Petito, Claudio Scarchilli, Antonio Casale, Livio Lorenzon, Sandro Scarchilli, Benito Stefanelli, Angelo Novi, Antonio Casas, Aldo Sambrell, Al Mulock, Sergio Mendizábal, Antonio Molino Rojo, Lorenzo Robledo, Mario Brega, Chelo Alonso, Fortunato Arena, Román Ariznavarreta, Silvana Bacci, Joseph Bradley, Frank Braña, Amerigo Castrighella, Saturno Cerra, William Conroy, Axel Darna, Tony Di Mitri, Gianni Di Segni, Alberigo Donadeo, Attilio Dottesio, Luis Fernández de Eribe, Veriano Ginesi, Jesús Guzmán, Víctor Israel, Nazzareno Natale, Ricardo Palacios, Antonio Palombi, Romano Puppo, Antoñito Ruiz, Aysanoa Runachagua, Enrique Santiago, José Terrón, Franco Tocci, Antonio Montoya",Western,"Westerns, Epic Heroes, Frontier Guns Wild Showdown Gunfight, Wild Guns Frontier Sheriff Hero, Villain Superhero Action Packed Cool Exciting, Guns Action Violence Cops Killing, Epic Exciting Breathtaking Spectacle Excitement",Italian,"United Artists, Pea, Arturo Gonzalez Producciones Cinematograficas 1, Constantin Film","Usa, Italy, Spain, Germany"
M,1931,"Peter Lorre, Ellen Widmann, Inge Landgut, Otto Wernicke, Theodor Loos, Gustaf Gründgens, Friedrich Gnaß, Fritz Odemar, Paul Kemp, Theo Lingen, Rudolf Blümner, Georg John, Franz Stein, Ernst Stahl-Nachbaur, Gerhard Bienert, Karl Platen, Rosa Valetti, Hertha von Walther, Carl Ballhaus, Paul Mederow, Hadrian Maria Netto, Lucie Rhoden, Karl Hannemann","Thriller, Drama, Crime","Thrillers And Murder Mysteries, Intense Violence And Sexual Transgression, Crime Drugs And Gangsters, Humanity And The World Around Us, Thriller Cops Suspense Killer Twist, Murderer Clues Suspects Suspense Intriguing, Thriller Suspense Twist Psychological Intriguing, Supernatural Chilling Eerie Terrifying Dread, Film Noir Femme Fatale 1940S Thriller Or Intriguing",German,Nero Film Ag,Germany
One Flew Over the Cuckoo's Nest,1975,"Jack Nicholson, Brad Dourif, Louise Fletcher, Danny DeVito, William Redfield, Scatman Crothers, Christopher Lloyd, Will Sampson, Dean R. Brooks, Michael Berryman, Sydney Lassick, William Duell, Vincent Schiavelli, Peter Brocco, Alonzo Brown, Mwako Cumbuka, Josip Elic, Ken Kenny, Nathan George, Ted Markland, Louisa Moritz, Mews Small, Delos V. Smith Jr., Lan Fendors, Mimi Sarkisian, Mel Lambert, Kay Lee, Dwight Marfield, Tin Welch, Philip Roth, Aurore Clément, Anjelica Huston, Audrey Landers, Saul Zaentz",Drama,"Moving Relationship Stories, Intense Violence And Sexual Transgression, Sad Depressing Illness Heartbreaking Touching, Murder Crime Drama Gripping Compelling, Prison Jail Convicts Brutal Brutality, Powerful Complexity Intellectual Poetic Emotional, Touching Cry Family Sad Tear Jerker",English,"Fantasy Films, United Artists",Usa
The Third Man,1949,"Joseph Cotten, Alida Valli, Trevor Howard, Orson Welles, Paul Hörbiger, Ernst Deutsch, Erich Ponto, Siegfried Breuer, Hedwig Bleibtreu, Bernard Lee, Wilfrid Hyde-White, Alexis Chesnakov, Thomas Gallagher, Herbert Halbik, Hannah Norbert, Eric Pohlmann, Carol Reed, Annie Rosar, Frederick Schrecker, Hugo Schuster, Karl Stepanek, Theodore Gottlieb, Jenny Werner, Reed De Rouen, Geoffrey Keen, Robert Brown","Mystery, Thriller","Thrillers And Murder Mysteries, Murderer Clues Suspects Suspense Intriguing, Film Noir Femme Fatale 1940S Thriller Or Intriguing, Thriller Cops Suspense Killer Twist, Spy Intrigue Thriller Suspense Tense, Thriller Suspense Twist Psychological Intriguing","English, English, Russian, German",London Films Productions,Uk
Modern Times,1936,"Charlie Chaplin, Paulette Goddard, Henry Bergman, Tiny Sandford, Chester Conklin, Hank Mann, Stanley Blystone, Al Ernest Garcia, Richard Alexander, Cecil Reynolds, Mira McKinney, Murdock MacQuarrie, Wilfred Lucas, Edward LeSaint, Fred Malatesta, Sammy Stein, Juana Sutton, Ted Oliver, Norman Ainsley, Walter Bacon, Bobby Barber, Heinie Conklin, Gloria DeHaven, Gloria Delson, Pat Flaherty, Frank Hagney, Chuck Hamilton, Pat Harmon, Lloyd Ingraham, Walter James, Edward Kimball, Jack Low, Buddy Messinger, Bruce Mitchell, Frank Moran, James C. Morton, Dorothy Mueller, Louis Natheaux, J. C. Nugent, Russ Powell, John Rand, Wyn Ritchie Evans, Harry Wilson","Comedy, Drama, Romance","Crude Humor And Satire, Song And Dance, Humor Satire Jokes Amusing Humorous, Comedy Funny Hilarious Broadway Musical, Gag Chuckles Slapstick Amusing Jokes, Jokes Humor Chuckles Crude Gag, Charming Witty Delightful Lovely Charm",English,"Charles Chaplin Productions, United Artists",Usa
All About Eve,1950,"Bette Davis, Anne Baxter, George Sanders, Celeste Holm, Gary Merrill, Hugh Marlowe, Thelma Ritter, Gregory Ratoff, Marilyn Monroe, Barbara Bates, Walter Hampden, Randy Stuart, Craig Hill, Leland Harris, Barbara White, Eddie Fisher, William Pullen, Claude Stroud, Eugene Borden, Helen Mowery, Steven Geray, Gertrude Astor, Frank Baker, Ralph Brooks, Jack Chefe, Sayre Dearing, Jack Deery, Franklyn Farnum, Bess Flowers, Colin Kenny, Ethelreda Leopold, Carl M. Leviness, Leota Lorraine, William Marion, Thomas Martin, Mathew McCue, Harold Miller, William H. O'Brien, Stanley Orr, Foster H. Phinney, Marion Pierce, Paul Power, Suzanne Ridgway, Ann Robinson, Cosmo Sardo, Larry Steers, Robert Whitney",Drama,"Humanity And The World Around Us, Charming Witty Delightful Lovely Charm","English, English, French",20Th Century Fox,Usa
High and Low,1963,"Toshirō Mifune, Tatsuya Nakadai, Kyōko Kagawa, Tatsuya Mihashi, Isao Kimura, Kenjirō Ishiyama, Takeshi Katō, Takashi Shimura, Jun Tazaki, Nobuo Nakamura, Yūnosuke Itō, Tsutomu Yamazaki, Minoru Chiaki, Eijirō Tōno, Masao Shimizu, Yutaka Sada, Masahiko Shimazu, Toshio Egi, Kōji Mitsui, Kyū Sazanka, Susumu Fujita, Kamatari Fujiwara, Yoshio Tsuchiya, Kazuo Kitamura, Gen Shimizu, Akira Nagoya, Jun Hamamura, Masao Oda, Kō Nishimura, Yoshifumi Tajima, Koji Kiyomura, Hiroshi Unayama, Yoshisuke Makino, Jun Kondô, Tomo Suzuki, Senkichi Ōmura, Kazuo Kato, Ikio Sawamura, Kin Sugai, Keiko Tomita, Isao Onoda, Seiichi Taguchi, Takeo Matsushita, Kiyoshi Yamamoto, Kenji Kodama, Minoru Itō, Haruo Suzuki, Kōzō Nomura","Crime, Drama, Mystery","Crime Drugs And Gangsters, Thriller Cops Suspense Killer Twist, Film Noir Femme Fatale 1940S Thriller Or Intriguing, Terrorism Thriller Gripping Intense Political, Murderer Clues Suspects Suspense Intriguing",Japanese,"Toho, Kurosawa Production",Japan
Battleship Potemkin,1925,"Aleksandr Antonov, Vladimir Barsky, Grigori Aleksandrov, Ivan Bobrov, Mikhail Gomorov, Aleksandr Levshin, Nina Poltavtseva, Konstantin Feldman, Prokhorenko, A. Glauberman, Beatrice Vitoldi, Danylo Antonovych, Iona Biy-Brodskiy, Julia Eisenstein, Sergei Eisenstein, Andrey Fayt, Yuriy Korobeynikov, Marusov, Protopopov, Repnikova, Vladimir Uralskiy, Zerenin, Aleksanteri Ahola-Valo","History, War, Drama","Epic History And Literature, War And Historical Adventure, Politics And Human Rights, Historical Propaganda Political Patriotism Historic, Disaster Exciting Boats Adventure Voyage, Fought Army Fighting Heroic Battle, Racism African American Powerful Hatred Or Slavery, Fought Army Battlefield Conflict Battle",No-Spoken-Language,"Mosfilm 1, Goskino Ussr",Ussr
Double Indemnity,1944,"Fred MacMurray, Barbara Stanwyck, Edward G. Robinson, Porter Hall, Richard Gaines, Jean Heather, Tom Powers, Fortunio Bonanova, Byron Barr, John Berry, Raymond Chandler, Edmund Cobb, Kernan Cripps, Bess Flowers, Eddie Hall, Teala Loring, Sam McDaniel, Billy Mitchell, Clarence Muse, Douglas Spencer, John Philliber, Harold Garrison, James Adamson, Betty Farrington, George Magrill, Constance Purdy, Dick Rush, Floyd Shackelford, Oscar Smith, Miriam Nelson","Crime, Thriller","Thrillers And Murder Mysteries, Film Noir Femme Fatale 1940S Thriller Or Intriguing, Murderer Clues Suspects Suspense Intriguing, Thriller Cops Suspense Killer Twist, Thriller Suspense Twist Psychological Intriguing, Robbery Heist Cops Twist Thriller",English,Paramount 1,Usa
Apocalypse Now,1979,"Martin Sheen, Frederic Forrest, Albert Hall, Laurence Fishburne, Sam Bottoms, Marlon Brando, Robert Duvall, Dennis Hopper, G. D. Spradlin, Harrison Ford, Jerry Ziesmer, Scott Glenn, James Keane, Kerry Rossall, Tom Mason, Cynthia Wood, Colleen Camp, Linda Carpenter, Aurore Clément, Jack Thibeau, Glenn Walken, Damien Leake, Marc Coppola, Bill Graham, Jerry Ross, Charles Robinson, Nick Nicholson, Don Gordon Bell, Evan A. Lottman, R. Lee Ermey, Jim Gaines, Vittorio Storaro, Francis Ford Coppola, Henry Strzalkowski, Herb Rice, Joe Estevez, Bo Byers, Frank Villard","Drama, War","War And Historical Adventure, Humanity And The World Around Us, Politics And Human Rights, Epic History And Literature, Intense Violence And Sexual Transgression, Fought Army Battlefield Conflict Battle, Death Symbolism Philosophical Thought Provoking Surreal, Weird Surreal Dream Bizarre Confusing, Epic Exciting Breathtaking Spectacle Excitement, Duty Heroic Battle Pilot Patriotism","English, Khmer, English, French, Vietnamese","United Artists, American Zoetrope",Usa
Rashomon,1950,"Toshirō Mifune, Machiko Kyō, Takashi Shimura, Masayuki Mori, Minoru Chiaki, Kichijirō Ueda, Noriko Honma, Daisuke Katō","Crime, Drama, Mystery","Humanity And The World Around Us, Death Symbolism Philosophical Thought Provoking Surreal, Murder Crime Drama Gripping Compelling, Murderer Clues Suspects Suspense Intriguing, Thriller Cops Suspense Killer Twist",Japanese,Daiei Film,Japan
The Wizard of Oz,1939,"Judy Garland, Ray Bolger, Jack Haley, Bert Lahr, Frank Morgan, Margaret Hamilton, Billie Burke, Clara Blandick, Charley Grapewin, Pat Walshe, Terry, Adriana Caselotti, Harry Earles, Jerry Maren, Parnell St. Aubin, Billy Bletcher, Pinto Colvig, Charles Becker, Mitchell Lewis, Buster Brodie, Ethelreda Leopold, Billy Curtis, Jimmy the Crow, Eleanor Keaton, Buddy Ebsen, Angelo Rossitto","Adventure, Family, Fantasy","Song And Dance, Fantasy Imaginative Magic Fairy Tale Or Enchanted, Musical Lyrics Broadway Tune Vocals, Anime Graphics Storytelling Emotion Breathtaking, Christmas Holiday Heartwarming Family Adorable, Dog Animals Adorable Heartwarming Family",English,Metro Goldwyn Mayer 1,Usa
The Rules of the Game,1939,"Jean Renoir, Marcel Dalio, Nora Gregor, Julien Carette, Roland Toutain, Paulette Dubost, Gaston Modot, Mila Parély, Anne Mayen, Eddy Debray, Pierre Magnier, Odette Talazac, Claire Gérard, Pierre Nay, Richard Francoeur, Léon Larive, Lise Elina, Nicolas Amato, Henri Cartier-Bresson, Celestin, Tony Corteggiani, Géo Forster, Roger Forster, Camille François, Jenny Hélia, André Zwobada, Jacques Beauvais, Maurice Marceau, Marguerite de Morlaye, Marcel Melrac, Antoine Corteggiani","Drama, Comedy, Romance","Humanity And The World Around Us, Marriage Romance Affair Passionate Passion, Powerful Complexity Intellectual Poetic Emotional, Humor Satire Jokes Amusing Humorous, Romance Captivating Loves Lover Beauty, Charming Witty Delightful Lovely Charm",French,"La Nouvelle Edition Francaise, Franco London Films",France
Bicycle Thieves,1948,"Lamberto Maggiorani, Enzo Staiola, Lianella Carell, Elena Altieri, Gino Saltamerenda, Giulio Chiari, Vittorio Antonucci, Michele Sakara, Carlo Jachino, Emma Druetti, Giulio Battiferri, Sergio Leone, Mario Meniconi, Checco Rissone, Peppino Spadaro, Nando Bruno, Eolo Capritti, Memmo Carotenuto, Umberto Spadaro, Fausto Guerzoni, Piero Heliczer, Massimo Randisi",Drama,"Moving Relationship Stories, Humanity And The World Around Us, Family Moving Heartbreaking Sadness Sad, Sad Depressing Illness Heartbreaking Touching, Family Touching Kids Cry Tear Jerker, Touching Cry Family Sad Tear Jerker, Marriage Drama Family Dramas Melodrama",Italian,Produzioni De Sica 1,Italy
Taxi Driver,1976,"Robert De Niro, Jodie Foster, Cybill Shepherd, Harvey Keitel, Peter Boyle, Leonard Harris, Albert Brooks, Diahnne Déa, Frank Adu, Victor Argo, Gino Ardito, Garth Avery, Harry Cohn, Cooper Cunningham, Brenda Dickson, Harry Fischler, Nat Grant, Richard Higgs, Beau Kayser, Victor Magnotta, Bob Maroff, Norman Matlock, Bill Minkin, Murray Moston, Harry Northup, Gene Palma, Harlan Cary Poe, Steven Prince, Peter Savage, Martin Scorsese, Nicholas Shields, Ralph S. Singleton, Joe Spinell, Maria Turner, Robin Utt, Tommy Ardolino, Joseph Bergmann, Robert P. Cohen, William Donovan, Jean Elliott, Annie Gagen, Trent Gough, Carson Grant, Mary-Pat Green, Robert John Keiber, James Mapes, Debbi Morgan, David Nichols, Antone Pagán, Billie Perkins, Michael Phillips, Frankie Verroca","Drama, Crime","Intense Violence And Sexual Transgression, Humanity And The World Around Us, Politics And Human Rights, Crime Drugs And Gangsters, Sexuality Sex Disturbed Unconventional Or Challenging, Drugs Gritty Cops Violence Powerful, Guns Action Violence Cops Killing, Ruthless Underworld Gritty Stylish Violence, Thriller Suspense Twist Psychological Intriguing","English, English, Spanish","Italo Judeo Productions, Bill Phillips 3, Columbia Pictures",Usa
The Best Years of Our Lives,1946,"Dana Andrews, Fredric March, Harold Russell, Teresa Wright, Myrna Loy, Cathy O'Donnell, Virginia Mayo, Hoagy Carmichael, Gladys George, Roman Bohnen, Ray Collins, Minna Gombell, Walter Baldwin, Steve Cochran, Dorothy Adams, Don Beddoe, Marlene Aames, Charles Halton, Ray Teal, Howland Chamberlain, Dean White, Erskine Sanford, Michael Hall, Victor Cutler, Claire Du Brey, Pat Flaherty, Jackie Jackson, William H. O'Brien, Bert Stevens, Marion Gray, Jimmy Ames, Carol Andrews, Mary Arden, Gertrude Astor, Edward Biby, Harry Cheshire, Sidney Clute, Tom Coleman, Joyce Compton, James Conaty, Heinie Conklin, Bert Conway, Clancy Cooper, Mady Correll, Roy Darmour, Hal K. Dawson, Lawrence Dobkin, Lester Dorr, Tom Dugan, Dick Earle, Edward Earle, Blake Edwards, Billy Engle, Ben Erway, Doris June Fesetta, Tennessee Ernie Ford, Louise Franklin, Harry Gillette, Dick Gordon, Herschel Graham, Earle Hodgins, Stuart Holmes, Ray Hyke, John Ince, Teddy Infuhr, Georgia Kane, Robert Karnes, Kenner G. Kemp, Donald Kerr, Gene Krupa, Ethelreda Leopold, Alyn Lockwood, Wilbur Mack, Susan Mann, Thomas Martin, Michael Mauree, Doreen McCann, Peggy McIntyre, Russell Meeker, Chef Milani, Harold Miller, Ernesto Molinari, William Newell, Georgie Nokes, Joe Palma, Leo Penn, Caleb Peterson, Norman Phillips Jr., Jack Rice, Suzanne Ridgway, Mickey Roth, Loretta Russell, Ruth Sanderson, Ralph Sanford, Noreen Sayles, Stephen Soldi, John Tyrrell, Amelita Ward, Jan Wiley, Marek Windheim, Catherine Wyler, Judy Wyler, William Wyler, Dick Gordon","Drama, Romance, War","War And Historical Adventure, Moving Relationship Stories, Humanity And The World Around Us, Fought Army Battlefield Conflict Battle, Duty Heroic Battle Pilot Patriotism, Family Moving Heartbreaking Sadness Sad, Touching Cry Family Sad Tear Jerker, Marriage Drama Family Dramas Melodrama",English,"Samuel Goldwyn Productions, Rko Radio Pictures, Samuel Goldwyn Company",Usa
2001: A Space Odyssey,1968,"Keir Dullea, Gary Lockwood, William Sylvester, Douglas Rain, Daniel Richter, Leonard Rossiter, Margaret Tyzack, Robert Beatty, Sean Sullivan, Frank Miller, Ed Bishop, Edwina Carroll, Heather Downham, Penny Brahms, Maggie London, Chela Matthison, Judy Kiern, Alan Gifford, Ann Gillis, Vivian Kubrick, Kenneth Kendall, Kevin Scott, Martin Amor, Bill Weston, Glenn Beck, Mike Lovell, John Ashley, Jimmy Bell, David Charkham, Simon Davis, Jonathan Daw, Péter Delmár, Terry Duggan, David Fleetwood, Danny Grover, Brian Hawley, David Hines, Tony Jackson, John Jordan, Scott MacKee, Laurence Marchant, Darryl Paes, Joe Refalo, Andy Wallace, Bob Wilyman, Richard Woods, S. Newton Anderson, Sheraton Blount, Ann Bormann, Julie Croft, Penny Francis, Marcella Markham, Irena Marr, Krystyna Marr, Kim Neil, Jane Pearl, Penny Pearl, Burnell Tucker, John Swindells, John Clifford, Stanley Kubrick, Anthony Jackson, Frank W. Miller, Harry Fielder","Adventure, Mystery, Science-Fiction","Humanity And The World Around Us, Monsters Aliens Sci Fi And The Apocalypse, Space Spaceship Earth Mankind Scientific, Journey Scientific Humanity Breathtaking Documentary, Death Symbolism Philosophical Thought Provoking Surreal, Spaceship Space Technology Future Destruction, Future Action Technology Technological Humanity","English, English, Russian","Stanley Kubrick Productions, Metro Goldwyn Mayer 1","Uk, Usa"
Star Wars,1977,"Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing, Alec Guinness, Anthony Daniels, Kenny Baker, Peter Mayhew, David Prowse, James Earl Jones, Phil Brown, Shelagh Fraser, Jack Purvis, Alex McCrindle, Eddie Byrne, Drewe Henley, Denis Lawson, Garrick Hagon, Jack Klaff, William Hootkins, Angus MacInnes, Jeremy Sinden, Graham Ashley, Don Henderson, Richard LeParmentier, Leslie Schofield, Michael Leader, David Ankrum, Scott Beach, Lightning Bear, Jon Berg, Doug Beswick, Paul Blake, Janice Burchette, Ted Burnett, John Chapman, Gilda Cohen, Tim Condren, Barry Copping, Alfie Curtis, Robert Davies, Maria De Aragon, Robert A. Denham, Frazer Diamond, Peter Diamond, Warwick Diamond, Sadie Eden, Kim Falkinburg, Harry Fielder, Ted Gagliano, Salo Gardner, Steve Gawley, Barry Gnome, Rusty Goffe, Isaac Grand, Reg Harding, Alan Harris, Frank Henson, Arthur Howell, Tommy Ilsley, Joe Johnston, Annette Jones, Linda Jones, Joe Kaye, Colin Michael Kitchens, Melissa Kurtz, Tiffany Hillkurtz, Al Lampert, Anthony Lang, Laine Liska, Derek Lyons, Mahjoub, Alf Mangan, Grant McCune, Geoffrey Moon, Mandy Morton, Lorne Peterson, Marcus Powell, Shane Rimmer, Pam Rose, George Roubicek, Erica Simmons, Angela Staines, George Stock, Roy Straite, Peter Sturgeon, Peter Sumner, John Sylla, Tom Sylla, Malcolm Tierney, Phil Tippett, Burnell Tucker, Morgan Upton, Jerry Walter, Hal Wamsley, Diana Sadley Way, Bill Weston, Fred Wood, Colin Higgins, Ron Tarr, Anthony Forrest, Frances Alfred Basil Tomlin, John Cannon, Larry Ward, Scott Schumann","Adventure, Action, Science-Fiction","Epic Heroes, Monsters Aliens Sci Fi And The Apocalypse, Humanity And The World Around Us, Spaceship Space Technology Future Destruction, Swords Battle Fantasy Epic Magic, Villain Superhero Action Packed Cool Exciting, Future Action Technology Technological Humanity, Anime Graphics Storytelling Emotion Breathtaking",English,"Lucasfilm Ltd 1, 20Th Century Fox",Usa
Gone with the Wind,1939,"Vivien Leigh, Clark Gable, Olivia de Havilland, Leslie Howard, Hattie McDaniel, Thomas Mitchell, Barbara O'Neil, Evelyn Keyes, Ann Rutherford, George Reeves, Fred Crane, Oscar Polk, Butterfly McQueen, Victor Jory, Everett Brown, Howard Hickman, Alicia Rhett, Rand Brooks, Carroll Nye, Laura Hope Crews, Eddie 'Rochester' Anderson, Harry Davenport, Leona Roberts, Jane Darwell, Ona Munson, Paul Hurst, Isabel Jewell, Cammie King, Eric Linden, J.M. Kerrigan, Ward Bond, Jackie Moran, Cliff Edwards, Lillian Kemble-Cooper, Yakima Canutt, Marcella Martin, Louis Jean Heydt, Mickey Kuhn, Olin Howland, Irving Bacon, Robert Elliott, William Bakewell, Mary Anderson, John Albright, Eric Alden, John Arledge, Roscoe Ates, Trevor Bardette, Lennie Bluett, Ralph Brooks, Daisy Bufford, Ann Bupp, James Bush, Ruth Byers, Gary Carlson, Horace B. Carpenter, Louise Carter, Shirley Chambers, Eddy Chandler, Wallis Clark, Richard Clucas, Frank Coghlan Jr., Billy Cook, Gino Corrado, Martina Cortina, Luke Cosgrave, Kernan Cripps, Patrick Curtis, Ned Davenport, Yola d'Avril, Lester Dorr, Phyllis Douglas, Joan Drake, F. Driver, Edythe Elliott, Susan Falligant, Richard Farnsworth, Frank Faylen, Kelly Griffin, George Hackathorne, Chuck Hamilton, Evelyn Harding, Inez Hatchett, Jean Heker, William Hoehne Jr., Ricky Holt, Shep Houghton, Jerry James, Si Jenks, Tommy Kelly, Emmett King, W. Kirby, Timothy J. Lonergan, Margaret Mann, William McClain, George Meeker, Charles Middleton, Alberto Morin, Adrian Morris, Lee Murray, H. Nellman, David Newell, Naomi Pharr, Lee Phelps, Spencer Quinn, Jolane Reynolds, Marjorie Reynolds, Suzanne Ridgway, Louisa Robert, Azarene Rogers, Scott Seaton, Tom Seidel, Terry Shero, William Stack, William Stelling, Harry Strang, Dirk Wayne Summers, Emerson Treacy, Phillip Trent, Julia Ann Tuck, Tom Tyler, Dale Van Sickel, E. Alyn Warren, Blue Washington, Rita Waterhouse, John Joseph Waterman Jr., Dan White, Ernest Whitman, Guy Wilkerson, Zack Williams, John Wray, Arthur Tovey, Bess Flowers, John Breen, Russell Custer","Romance, Drama, War","Epic History And Literature, Moving Relationship Stories, Romance Captivating Loves Lover Beauty, Racism African American Powerful Hatred Or Slavery, Marriage Romance Affair Passionate Passion, Powerful Complexity Intellectual Poetic Emotional, Shakespearean Breathtaking Kings Captivating Tragic",English,"Selznick International Pictures, Metro Goldwyn Mayer 1",Usa
